姓名,選區,政黨
蔡青芳,不分區,台灣團結聯盟
李心儀,不分區,台灣團結聯盟
張禾沂,不分區,台灣團結聯盟
賴振昌,不分區,台灣團結聯盟
高基讚,不分區,台灣團結聯盟
顏綠芬,不分區,台灣團結聯盟
丁文祺,不分區,台灣團結聯盟
黃光藝,不分區,台灣團結聯盟
陳奕齊,不分區,台灣團結聯盟
張兆林,不分區,台灣團結聯盟
林炳坤,不分區,無黨團結聯盟
黃美蘭,不分區,無黨團結聯盟
蔡錦賢,不分區,無黨團結聯盟
游旻慈,不分區,無黨團結聯盟
謝忠恆,不分區,無黨團結聯盟
蔡咏鍀,不分區,無黨團結聯盟
鄭美珠,不分區,無黨團結聯盟
李宗奎,不分區,中華統一促進黨
張安樂,不分區,中華統一促進黨
陳建華,不分區,中華統一促進黨
李淑華,不分區,中華統一促進黨
陳韻如,不分區,中華統一促進黨
肖云霞,不分區,中華統一促進黨
趙福芬,不分區,中華統一促進黨
莊永彰,不分區,中華統一促進黨
張孟崇,不分區,中華統一促進黨
康淑敏,不分區,中華統一促進黨
李宗勲,不分區,大愛憲改聯盟
黃馨主,不分區,大愛憲改聯盟
吾爾開希．多萊特,不分區,大愛憲改聯盟
洪美珍,不分區,大愛憲改聯盟
黃千明,不分區,大愛憲改聯盟
張怡菁,不分區,大愛憲改聯盟
林東雄,不分區,健保免費連線
黃嘉華,不分區,健保免費連線
許榮淑,不分區,健保免費連線
汪耀華,不分區,軍公教聯盟黨
陳金梅,不分區,軍公教聯盟黨
陸炳成,不分區,軍公教聯盟黨
魏千妮,不分區,軍公教聯盟黨
張賜,不分區,軍公教聯盟黨
邱馨慧,不分區,樹黨
潘翰聲,不分區,樹黨
鄭文松,不分區,和平鴿聯盟黨
莊秉鴻,不分區,和平鴿聯盟黨
吳宛甄,不分區,和平鴿聯盟黨
柯一正,不分區,時代力量
鄭秀玲,不分區,時代力量
柯劭臻,不分區,時代力量
徐永明,不分區,時代力量
林依瑩,不分區,時代力量
高潞．以用．巴魕剌Kawlo．Iyun．Pacidal,不分區,時代力量
劉美貞,不分區,民國黨
林錫維,不分區,民國黨
李天鐸,不分區,民國黨
曾玉瓊,不分區,民國黨
陳漢洲,不分區,民國黨
蔡慧玲,不分區,民國黨
何宇羚,不分區,民國黨
陳奕樵,不分區,民國黨
蔡宥祥,不分區,民國黨
陳麗紋,不分區,民國黨
周芷萱,不分區,自由台灣黨
李淑慧,不分區,自由台灣黨
蕭曉玲,不分區,自由台灣黨
郭正典,不分區,自由台灣黨
蔡丁貴,不分區,自由台灣黨
林世杰,不分區,自由台灣黨
田明達,不分區,台灣獨立黨
葉大華,不分區,綠黨社會民主黨聯盟
張麗芬,不分區,綠黨社會民主黨聯盟
許秀雯,不分區,綠黨社會民主黨聯盟
詹順貴,不分區,綠黨社會民主黨聯盟
謝英俊,不分區,綠黨社會民主黨聯盟
李根政,不分區,綠黨社會民主黨聯盟
